'N Sync,live,https://www.youtube.com/watch?v=y8pLasQXc1E,N Sync - Tearin Up My Heart  (Live  MTV TRL 1998.)
.38 Special,live,https://www.youtube.com/watch?v=Q296T0L1IxU,If I Been The One LIVE 38 Special
112,live,https://www.youtube.com/watch?v=8xLGyMjoc2o,Puff Daddy ft. Faith Evans & 112 - I'll Be Missing You live
2 Chainz,live,https://www.youtube.com/watch?v=3ED_3qZDp5A,Lil Wayne ft. 2 Chainz - Rich as Fuck LIVE!!
20 Fingers,live,https://www.youtube.com/watch?v=-JKs5H9DljU,20 Fingers feat. Roula - Lick It (Live At Dance Machine 6)
3 Doors Down,live,https://www.youtube.com/watch?v=F_aeQMX0M0s,"3 Doors Down - When I'm Gone [Live] - 8.2.2013 - Indianapolis, IN"
3OH!3,live,https://www.youtube.com/watch?v=CoNY7-YOKyk,"3OH!3 ""My First Kiss"" live at Playboy's Beach House"
4 Non Blondes,live,https://www.youtube.com/watch?v=o8rJz2hahzM,4 Non Blondes - Spaceman (Acoustic Live)
50 Cent,live,https://www.youtube.com/watch?v=SDLf4y_2OgE,50 Cent Performs 'In Da Club' Live | BRIT Awards 2004
69 Boyz,live,https://www.youtube.com/watch?v=TlnWav8VI-w,69 Boyz performing LIVE during the A-Town Legends Concert 2
8th Day,live,https://www.youtube.com/watch?v=Y-XAcl346io,8th Day Yalili Live in LA
98 Degrees,live,https://www.youtube.com/watch?v=3iDkv1YpOhc,98 Degrees 'The Hardest Thing' Today Show Live
A Ha,live,https://www.youtube.com/watch?v=qXxJeEMmFDM,A-ha - Take On Me - Live 8- Berlin - 2005 [HD]
A$AP Rocky,live,https://www.youtube.com/watch?v=uL4kyoXQV8w,A$AP Rocky - Intro/Suddenly | Live in Sydney | Moshcam
ABBA,live,https://www.youtube.com/watch?v=UthSjhJFB_4,ABBA : Gimme! Gimme! Gimme!  - Live '79
AWOLNATION,live,https://www.youtube.com/watch?v=B9nnZEfh9es,Awolnation - Sail (Live) HD
Aaron Hall,live,https://www.youtube.com/watch?v=V7kTIKj78m0,Aaron Hall - Let's chill (live)
Ace,live,https://www.youtube.com/watch?v=wAVl_IJV5eI,Ace - How Long (Has This Been Going On)  - Live
Ace Of Base,live,https://www.youtube.com/watch?v=lCeaMEC5oTo,Ace of Base - The Sign (live in France- 1994)
